rede,tx_index,tx_hash,latency_ms,ledger_index,status,success,timestamp_iso
XRPL,1,18D4729EF24AEEF61CFB4535E524E165F8CB563242BB4C089E1AB35C79B8EC25,7291,17419782,tesSUCCESS,true,2026-05-16T11:05:40.044Z
XRPL,2,9932A06566F53F2F04B700F62282832D84C650870FA9B9F1B2841C3CB6498A23,5883,17419784,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,3,46C059E69ADE01660C6FD8D684A9A0FF7DBF85E866183ED422E8C34244DD4FF6,4464,17419786,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,4,FB3F7D0D8A3605003A624D0CF53CC1D33286BDE6FC7779AF934965ABB746B39C,6184,17419788,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,5,47EF6F951AF0508501587E9F61718FF6065AA0C958388FEF578368B55E0D34C1,5908,17419790,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,6,FC13A46DCC91487E50F7C23395A4A5DD4ECED31C4785BA77044FB220152BE778,5891,17419792,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,7,20ABB23CEE9BCCB7A25BBB091B53915926BE992F6F761BFC3FE8CF9A70482443,5889,17419794,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,8,F522AB96AB05BE1B49398ABB1ADCAEDA38921C00D90D7730578FA311539B6907,5879,17419796,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,9,9FB97B036F7E6DE93680CBD541AA537995885CB82D016E34A4C5AFF5F1CB687E,6170,17419798,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,10,E0030D79A639C3A52F569C42953C6F05A7BC156E1AF09C63835D4D033F9A8ED3,5883,17419800,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,11,0078C3BB40611396F9508C7F2B05496229ED96BF0AB421103C4E731EA8609C38,4721,17419802,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,12,3B75DECF84D422E208ECCDD7AB9AD4788E6ADABD6BC7FF773C56ECD531823B6A,7314,17419804,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,13,48ED14704DC449326AD3BCC8DEA8E7B7AAE0D66562C33C32AFC511A93A33A2BF,6397,17419806,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,14,5B3D2C5FE6B218B649ED6557FA9CF0377DBE878F53263B9E0A00AD6C9C9B7A8A,5896,17419808,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,15,4D06DBD4C1989B5CBFB2227D79CD24F79AC611FA688AFBB8E575971425D7A8CD,5899,17419810,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,16,F5E4FA102D964ACFC700DDD575AC86AC8EF46D2D09BC4CBCCDDFADD57759E197,5876,17419812,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,17,17650D93196A23DA8E2E884DF771072055C96831E9097B7AF4C13A2E9CAC0F85,6123,17419814,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,18,0A2D1F0DFB477212EE55F28970B42D1E6CDE7A22C2B717D2AD4A225197A3311D,4780,17419816,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,19,1BE1B2F7ABA824BEBA980444398D63F97175A4956837E89DCA2CE0D992AD022F,5887,17419818,tesSUCCESS,true,2026-05-16T11:05:40.045Z
XRPL,20,B1A019468D94DB9DB2D67FDAF63536DB4AB4DDC0FA1C8906F604EC8E5083E492,5879,17419820,tesSUCCESS,true,2026-05-16T11:05:40.045Z
