rodada,data_execucao,commit_timestamp,xrpl_n,xrpl_sucesso,xrpl_taxa,xrpl_min,xrpl_max,xrpl_media,xrpl_dp,xrpl_p50,xrpl_p90,xrpl_p95,xrpl_p99,xrpl_tps,stellar_n,stellar_sucesso,stellar_taxa,stellar_min,stellar_max,stellar_media,stellar_dp,stellar_p50,stellar_p90,stellar_p95,stellar_p99,stellar_tps
r1,2026-05-15,2026-05-15 22:52 CEST,50,50,100.0,4424,7226,5668.70,640.55,5839,6137,6156,7226,0.18,50,50,100.0,3527,5340,4863.06,538.78,5101,5333,5336,5340,0.21
r2,2026-05-16,2026-05-16 04:44 CEST,50,50,100.0,4449,7329,5962.88,896.05,5779,7175,7201,7329,0.17,50,50,100.0,2001,5330,4812.38,618.61,5084,5319,5329,5330,0.21
r3,2026-05-16,2026-05-16 13:10 CEST,50,50,100.0,4459,7574,5893.00,878.64,5887,7292,7314,7574,0.17,50,50,100.0,2132,6110,4840.80,728.64,5061,5867,5880,6110,0.21
r4,2026-05-17,2026-05-16 18:09 CEST,50,50,100.0,2718,8354,6015.82,831.27,5665,7038,7041,8354,0.17,50,50,100.0,2707,5867,4820.40,423.84,4857,5162,5176,5867,0.21
r5,2026-05-18,2026-05-18 05:10 CEST,50,50,100.0,5548,7230,5976.72,535.43,5747,7128,7134,7230,0.17,50,50,100.0,3955,5718,4878.22,325.51,4917,5171,5605,5718,0.20
r6,2026-05-18,2026-05-18 13:10 CEST,50,50,100.0,4407,7492,6150.00,818.54,5824,7220,7314,7492,0.16,50,50,100.0,1383,5880,4821.28,651.64,4895,5633,5699,5880,0.21
r7,2026-05-18,2026-05-18 18:09 CEST,50,50,100.0,2863,8294,5728.88,707.22,5559,6908,6945,8294,0.17,50,50,100.0,1318,6198,4825.88,685.73,4890,5600,5682,6198,0.21
r8,2026-05-18,2026-05-18 22:09 CEST,50,50,100.0,2908,8380,5918.54,908.11,5646,7012,7058,8380,0.17,50,50,100.0,1770,5863,4844.74,689.18,4902,5697,5707,5863,0.21
